TSVIndex,X,Y,BotLayer,TopLayer,Radius (m),ConfigFile,Label
0,0.0008,0.0008,5,2,1.5e-05,,TSV
1,0.0008,0.00085,5,2,1.5e-05,,TSV
2,0.0008,0.0009,5,2,1.5e-05,,TSV
3,0.0008,0.00095,5,2,1.5e-05,,TSV
4,0.00085,0.0008,5,2,1.5e-05,,TSV
5,0.00085,0.00085,5,2,1.5e-05,,TSV
6,0.00085,0.0009,5,2,1.5e-05,,TSV
7,0.00085,0.00095,5,2,1.5e-05,,TSV
8,0.0009,0.0008,5,2,1.5e-05,,TSV
9,0.0009,0.00085,5,2,1.5e-05,,TSV
10,0.0009,0.0009,5,2,1.5e-05,,TSV
11,0.0009,0.00095,5,2,1.5e-05,,TSV
12,0.00095,0.0008,5,2,1.5e-05,,TSV
13,0.00095,0.00085,5,2,1.5e-05,,TSV
14,0.00095,0.0009,5,2,1.5e-05,,TSV
15,0.00095,0.00095,5,2,1.5e-05,,TSV
